


User 5%, System 5%, IOW 0%, IRQ 0%
User 16 + Nice 0 + Sys 18 + Idle 273 + IOW 0 + IRQ 0 + SIRQ 0 = 307

  PID PR CPU% S  #THR     VSS     RSS PCY UID      Name
11890  0   5% R     1   2648K    948K     shell    top
  266  1   0% S     1      0K      0K     root     diag_usb_wq
  267  1   0% S     1      0K      0K     root     hsic_diag_wq
  268  1   0% S     1      0K      0K     root     hsic_dci_diag_w
  269  1   0% S     1      0K      0K     root     smux_diag_wq
  270  1   0% S     1      0K      0K     root     diag_cntl_wq
  271  1   0% S     1      0K      0K     root     diag_dci_wq
  272  1   0% S     1      0K      0K     root     kgsl-3d0
  273  1   0% S     1      0K      0K     root     kgsl-events
  274  1   0% S     1      0K      0K     root     kgsl_devfreq_wq
  275  1   0% S     1      0K      0K     root     ice40_firmware_
  276  0   0% S     1      0K      0K     root     spi0
  282  0   0% S     1      0K      0K     root     spi32766
  285  1   0% S     1      0K      0K     root     spi32765
  288  1   0% S     1      0K      0K     root     usbnet
  292  1   0% S     1      0K      0K     root     mdm_bridge
  293  1   0% S     1      0K      0K     root     ks_bridge:1
  294  1   0% S     1      0K      0K     root     ks_bridge:2
  295  1   0% S     1      0K      0K     root     ks_bridge:3
  296  1   0% S     1      0K      0K     root     ks_bridge:4
  297  1   0% S     1      0K      0K     root     k_gserial
  298  1   0% S     1      0K      0K     root     uether
  299  1   0% S     1      0K      0K     root     usb_notify
  300  1   0% S     1      0K      0K     root     irq/572-cypress
  301  1   0% S     1      0K      0K     root     cypress_touchke
  302  1   0% S     1      0K      0K     root     f54_status_work
  303  0   0% S     1      0K      0K     root     irq/441-synapti
  306  1   0% S     1      0K      0K     root     msm_cpp_workque
  307  0   0% S     1      0K      0K     root     cfinteractive
  308  0   0% S     1      0K      0K     root     irq/170-msm_sdc
  309  1   0% S     1      0K      0K     root     irq/253-msm_sdc
  311  1   0% S     1      0K      0K     root     binder
  312  1   0% S     1      0K      0K     root     usb_bam_wq
  313  1   0% S     1      0K      0K     root     irq/435-mdm sta
  314  1   0% S     1      0K      0K     root     irq/436-mdm pbl
  315  0   0% S     1      0K      0K     root     mmcqd/0
  316  0   0% S     1      0K      0K     root     mmcqd/0rpmb
  317  1   0% S     1      0K      0K     root     ssp_debug_wq
  319  0   0% S     1      0K      0K     root     ssp_sensorhub_t
  320  1   0% S     1      0K      0K     root     irq/440-hrm_sen
  321  1   0% S     1      0K      0K     root     irq/573-fuelgau
  322  1   0% S     1      0K      0K     root     max77804k-charg
  323  1   0% S     1      0K      0K     root     vfsspi_debug_wq
  324  1   0% S     1      0K      0K     root     msm_ipc_router
  325  1   0% S     1      0K      0K     root     msm_vidc_worker
  326  1   0% S     1      0K      0K     root     pm_workerq_venu
  327  1   0% S     1      0K      0K     root     rq_stats
  328  1   0% S     1      0K      0K     root     sb-1
  329  0   0% D     1      0K      0K     root     ngd_rx_thread1
  330  2   0% D     1      0K      0K     root     ngd_notify_sl1
  331  1   0% S     1      0K      0K     root     k_rmnet_mux_wor
  332  1   0% S     1      0K      0K     root     mtp_read_send
  333  0   0% S     1      0K      0K     root     file-storage
  334  0   0% S     1      0K      0K     root     irq/163-dwc3
  335  1   0% S     1      0K      0K     root     msm_thermal:hot
  336  1   0% S     1      0K      0K     root     msm_thermal:fre
  337  1   0% S     1      0K      0K     root     msm_thermal:the
  338  0   0% D     1      0K      0K     root     boost_sync/0
  339  1   0% D     1      0K      0K     root     boost_sync/1
  340  2   0% D     1      0K      0K     root     boost_sync/2
  341  3   0% D     1      0K      0K     root     boost_sync/3
  342  1   0% S     1      0K      0K     root     irq/575-flip_co
  343  1   0% S     1      0K      0K     root     battery.80
  344  1   0% S     1      0K      0K     root     irq/579-battery
  345  0   0% S     1   1112K    204K     root     /sbin/ueventd
  348  1   0% S     1      0K      0K     root     ext4-dio-unwrit
  350  0   0% S     1      0K      0K     root     jbd2/mmcblk0p27
  351  1   0% S     1      0K      0K     root     ext4-dio-unwrit
  353  0   0% S     1      0K      0K     root     jbd2/mmcblk0p25
  354  1   0% S     1      0K      0K     root     ext4-dio-unwrit
  356  0   0% S     1      0K      0K     root     jbd2/mmcblk0p22
  357  1   0% S     1      0K      0K     root     ext4-dio-unwrit
  359  0   0% S     1      0K      0K     root     jbd2/mmcblk0p13
  360  1   0% S     1      0K      0K     root     ext4-dio-unwrit
  362  0   0% S     1      0K      0K     root     jbd2/mmcblk0p23
  363  1   0% S     1      0K      0K     root     ext4-dio-unwrit
